Player,Nation,Pos,DF,FW,MF,GK,Squad,Top5,Bot5,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Performance PK,Performance PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1-Mar,PPA,CrsPA,Prog,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,W,D,L,Performance CS,Performance CS%,Performance PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
C. Saad,People's Land of Maneau,MF,0,0,1,0,Sugar Storm,Yes,No,25,1995,7.35,0.04,0.45,0.19,25.02,0.64,0.16,0.05,0.06,23.79,-0.04,0.07,-0.04,-0.03,0.11,0.05,-0.05,-0.05,39.98,45.96,86.8,782.56,125.34,14.28,15.88,89.88,20.31,20.83,96.82,4.75,7.7,61.4,0.15,0.08,0.12,0.38,2.88,0.77,0.08,2.07,2.24,1.65,0.75,1.05,0.31,0.48,2.07,18.7,1.73,30.89,6.42,20.46,7.83,19.16,3.96,1.25,0.02,-0.05,1.24,1.18,3.19,1.96,0,,,,,,,,,,,,,,,,,,,
H. Twongirwe,People's Land of Maneau,MF,0,0,1,0,Sugar Storm,Yes,No,30,1990,1.74,0.51,0.65,0.61,99.91,0.54,0.58,1.07,0.96,4.91,-0.01,-0.04,0.06,0.2,0.09,0.24,0.32,0.44,59.44,69.46,85.57,1075.88,238.13,22.82,25.97,88.53,31.23,34.11,91.45,4.78,8.8,53.27,-0.03,0.08,-0.03,-0.09,5.97,1.11,-0.01,5.32,1.16,1.11,1.16,-0.04,0.06,0.53,2.43,24.93,1.75,20.04,5.8,29.47,6.56,11.19,2.4,1.66,0.1,0.05,1.75,1.15,2.27,1.69,0.01,,,,,,,,,,,,,,,,,,,
I. Iddrisu,People's Land of Maneau,MF,0,0,1,0,Sugar Storm,Yes,No,22,1999,5.92,-0.03,0.14,0.21,100.04,0.13,0.23,-0.03,-0.01,22.4,-0.06,0.06,0.04,0.06,-0.04,0.04,0.1,-0.08,49.68,53.53,92.63,990.75,176.86,14.64,15.71,93.57,28.1,29.46,95.47,5.86,7.13,83.37,0.07,0.08,-0.04,0.14,4.96,0.36,0.05,3.09,2.14,0.91,0.51,1.45,0.24,1.07,2.45,42.95,1.37,18.71,6.21,33.32,5.32,11.41,2.2,1.26,0.43,0.05,0.63,3.15,5.35,2.09,-0.04,,,,,,,,,,,,,,,,,,,
O. Nampeera,People's Land of Maneau,MF,0,0,1,0,Sugar Storm,Yes,No,22,1999,5.19,0.06,1.45,0.35,28.65,1.41,0.39,0.01,0.02,17.61,0.05,-0.04,0.15,0.12,0.01,-0.02,-0.04,-0.11,29.16,36.01,81.06,448.07,134.98,15.18,15.95,95.14,8.36,10.31,81.17,3.04,5.13,57.65,0.04,0.18,-0.13,1.82,1.34,1.41,0.08,2.38,1.64,0.8,0.61,0.31,0.59,0.44,1.45,28.52,1.07,23.34,5.55,23.51,4.47,10.85,8.11,1.84,0.11,-0.05,1.56,0.22,1.77,-0.07,-0.07,,,,,,,,,,,,,,,,,,,
Aggregate,People's Land of Maneau,,,,,,,Yes,,511,41911,84.58,1.89,13.17,4.68,490.77,12.4,4.76,2.23,3.3,202.22,-0.19,0.62,0.83,1.92,0.99,1.33,0.41,0.7,849.68,992.02,1750.5,15910.07,4099.07,340.77,368.25,1946.64,389.97,429.38,1774.07,101.07,157.43,1295.15,2.26,1.96,0.85,13.49,50.37,15.14,2.31,53.55,24.68,11.95,8.52,8.84,7.25,7.97,24.11,573.98,16.6,394.39,91.84,547.26,103.87,203.5,87.25,24.47,4.89,1.1,19.59,30.51,55.26,33.36,0.25,6.98,6.92,690.05,7.62,0.29,0.33,2.26,1.75,88.16,0.58,0.32,-0.07,0.58,71.4,0.09,-0.02,0.06,-0.08,0
H. Arthur,Quewenia,DF,1,0,0,0,Sugar Storm,Yes,No,24,1996,5.61,0,0.49,0,-0.03,0.56,0.07,-0.08,0,8.48,0.02,-0.01,0.09,0.06,0,0.18,0.04,-0.1,37.89,42.07,90.01,714.07,216.94,12.94,14.19,91.36,20.92,21.58,96.77,4.01,5.73,69.64,-0.01,-0.03,-0.09,0.05,2.1,0.06,-0.06,1.22,1.92,0.97,1.55,0.39,0.09,1.27,2.08,58.31,0.85,10.24,2.3,22.49,6.19,3.23,0.72,0.64,0.55,-0.04,0.15,2.67,4.55,5.37,0.09,,,,,,,,,,,,,,,,,,,
K. Oloya,Quewenia,DF,1,0,0,0,Sugar Storm,Yes,No,29,1992,0.18,-0.01,-0.08,-0.02,0,0.03,-0.02,0,0,0,0.02,-0.04,0.02,-0.04,-0.03,0,-0.03,-0.06,30.07,59.93,49.96,310.06,189.91,20.06,30.01,66.71,9.93,10.07,99.99,-0.06,-0.05,0,-0.01,0.08,-0.1,0.05,-0.07,-0.07,0.02,0.05,0.01,-0.01,0.04,-0.05,0.02,-0.06,0.04,0,-0.08,29.99,10.04,33.28,19.95,0.09,9.96,0.07,-0.05,0.05,-0.01,0,-0.01,0.05,0,,,,,,,,,,,,,,,,,,,
L. Kule,Quewenia,DF,1,0,0,0,Sugar Storm,Yes,No,27,1993,3.37,0.07,0.28,0.04,-0.04,0.4,-0.02,0.04,0,7.28,-0.07,0.03,-0.09,0.09,-0.07,0.11,-0.06,-0.09,38.81,47.83,80.92,605.73,251.47,22.06,24.23,91.26,13.32,15.54,86.4,2.33,5.42,44.33,0,-0.07,-0.07,-0.03,2.4,0.64,0,2.7,2.46,0.87,1.14,1.2,-0.05,1.26,2.71,44.49,1.52,17.84,4.59,25.42,8.82,6.67,2.43,0.9,0.25,0.07,0.61,2.07,4.63,1.6,0.05,,,,,,,,,,,,,,,,,,,
Q. Yadav,Quewenia,DF,1,0,0,0,Sugar Storm,Yes,No,25,1995,5.71,0.08,0.82,-0.04,0.02,0.84,0.06,-0.1,0,13.03,-0.04,0.09,-0.03,-0.01,0.14,0.15,-0.13,-0.09,45.75,50.32,90.93,944.07,353.41,14.18,14.93,95.27,24.57,25.38,96.57,6.17,8.36,72.98,0.02,-0.02,-0.01,0.21,2.56,0.17,0.09,3.21,2.19,1.39,1.65,0.52,-0.08,1.29,2.02,63.68,0.76,11.42,3.44,30.83,6.47,4.71,0.15,1.99,1.08,0.09,0.84,1.76,4,3.43,0.03,,,,,,,,,,,,,,,,,,,
T. Candia,Quewenia,DF,1,0,0,0,Sugar Storm,Yes,No,28,1992,5.39,-0.02,0.3,-0.03,0.01,0.47,0.05,-0.05,0,39.04,-0.08,0.18,-0.03,0.2,-0.09,-0.03,-0.11,0.01,42.45,52.74,80.41,848.71,359.55,17.21,17.89,95.82,18.39,21.67,84.3,6.41,11.88,54.09,-0.08,0.13,-0.14,1.91,3.67,1.18,0.47,4.83,2.52,1.04,1.05,0.79,0.67,0.39,0.73,50.02,0.41,12.68,2.54,19.46,7.04,4.26,1.3,2.09,0.97,0.04,1.1,1.56,3.94,1.91,-0.06,,,,,,,,,,,,,,,,,,,
W. Okeke,Quewenia,DF,1,0,0,0,Sugar Storm,Yes,No,25,1995,2.47,-0.04,0.85,-0.02,0.07,0.78,0.02,0.03,0,12.17,0,-0.07,0.04,-0.06,-0.05,-0.01,0.04,-0.1,28.26,41.72,68.03,582.54,214.62,9.93,12.45,79.98,12.57,17.19,73.16,5.04,7.84,63.15,0.43,0.23,0.21,1.29,3.39,1.64,0.41,4.25,4.1,2.4,2.45,1.34,0.51,2.98,4.5,63.61,1.57,20.88,5.38,26.01,10.31,5.79,4.67,2.52,0.84,0.03,1.67,2.5,6.62,3.3,0.04,,,,,,,,,,,,,,,,,,,
J. Anguko,Quewenia,DFFW,1,0,0,0,Sugar Storm,Yes,No,29,1991,3.28,0.02,1.93,1.22,66.61,1.87,1.32,0.08,-0.1,16.77,0.07,-0.05,-0.02,0.17,0.19,0.08,-0.17,-0.22,30.34,39.18,77.69,466.66,120.36,17.11,19.2,90.26,11.68,14.5,80.49,1.25,3.68,33.23,1.35,0.24,1,1.91,1.27,0.87,0.66,2.11,1.27,0.63,0.24,0.55,0.3,-0.02,1.34,-0.08,1.3,14.48,3.42,23.88,3.97,7.15,3.23,0.08,0.07,-0.07,0.08,0.68,1.9,0.6,-0.03,,,,,,,,,,,,,,,,,,,
M. Nabukwasi,Quewenia,DFMF,1,0,0,0,Sugar Storm,Yes,No,29,1991,2,-0.09,0.99,0.43,50.04,1.02,0.54,0.03,0.1,8.7,-0.08,-0.01,-0.02,-0.05,0.01,0.15,-0.12,-0.05,52.94,61.08,86.64,1226.24,323.24,13.32,13.28,99.96,28.53,30.52,93.76,11,14.75,74.12,0,0.08,0.02,0.05,4.81,0.44,-0.02,2.81,0.53,0.52,-0.1,0.56,-0.06,0,0.42,0.04,0.48,10.99,2.33,21.64,5.81,4.68,0.56,1.81,0.88,0.01,0.92,1.84,2.43,1.47,-0.06,,,,,,,,,,,,,,,,,,,
G. Were,Quewenia,FW,0,1,0,0,Sugar Storm,Yes,No,28,1992,4.15,0.72,3.13,1.23,38.52,3.1,1.21,0.32,0.5,16.9,-0.1,0.09,0.09,0.22,0.32,0.08,0.51,0.48,15.98,22.03,72,217.91,45.64,8.48,11.82,71.99,6.12,7.95,78.84,0.16,0.48,50.1,-0.03,0.14,-0.15,1.44,0.41,0.87,-0.04,1.85,-0.07,-0.03,-0.1,0.04,-0.09,-0.02,0.31,-0.03,0.27,13.57,2.82,21.18,1.17,5.91,6.37,0.87,0.92,0.1,0.07,0.67,0.77,0.75,0.08,,,,,,,,,,,,,,,,,,,
M. Mathieu,Quewenia,FW,0,1,0,0,Sugar Storm,Yes,No,23,1997,4.13,0.16,2.64,0.89,36.31,2.78,0.98,0.03,0.15,14.72,0.06,-0.04,-0.09,0.28,0.21,0.13,-0.01,0.04,21.12,26.77,79.07,332.08,86.77,11.96,14.02,84.48,7.23,8.45,85.79,1.44,2.2,66.73,-0.1,0.15,-0.08,1.56,0.5,1.46,-0.05,2.05,1.39,0.52,0.5,0.2,0.77,0.55,1.28,39.99,0.66,17.84,4.53,25.91,2.38,6.58,8.83,0.64,0,0.01,0.72,0.54,1.95,1.04,-0.05,,,,,,,,,,,,,,,,,,,
G. Odoch,Quewenia,FWMF,0,1,0,0,Sugar Storm,Yes,No,22,1998,1.8,0.07,0.47,-0.02,0.04,0.54,-0.1,-0.06,0,15.93,-0.04,0.08,0.07,-0.05,0.07,0.06,-0.13,0.04,23.69,31.12,76.22,362.51,95.8,13.64,15.23,89.7,7.86,9.5,83.32,2.08,5.87,36.3,0.02,0.04,-0.02,1.01,1,0.56,-0.1,1.54,2.06,1.15,1.57,-0.09,0.44,0.63,1.66,33.23,1.02,16.33,5.87,35.5,5.82,6.91,3.75,1.02,-0.07,-0.05,1.09,4.24,6.38,2.67,-0.06,,,,,,,,,,,,,,,,,,,
H. Kurnia,Quewenia,FWMF,0,1,0,0,Sugar Storm,Yes,No,31,1989,1.76,0.57,0.52,0.68,99.99,0.51,0.51,1.06,1.07,16.94,-0.1,-0.06,-0.07,0.04,0.08,0.09,0.55,0.4,13.42,18.28,74.13,178.82,24.15,7.73,9.36,81.23,4.11,5.84,69.95,0.53,0.61,99.94,0,0.13,-0.17,1.22,1.26,0.04,0,0.68,0.51,-0.07,0.57,0,-0.07,-0.09,0.62,-0.04,0.68,22.33,6.48,28.98,4.22,10.54,7.68,1.15,0.6,-0.06,0.68,-0.01,0.65,0.62,-0.03,,,,,,,,,,,,,,,,,,,
V. Nyakudya,Quewenia,FWMF,0,1,0,0,Sugar Storm,Yes,No,27,1993,0.89,0.06,0.07,0.09,0,-0.01,-0.05,0,0,0,0.03,0.1,-0.01,0.07,-0.01,0,-0.06,0.03,10.06,23.78,42.01,172.54,42.52,3.72,6.29,59.97,3.77,12.54,29.94,1.31,3.75,33.21,-0.07,-0.05,-0.08,-0.08,-0.08,-0.09,0.08,0.09,7.49,6.34,5.1,1.18,1.2,4.99,6.33,80.06,1.26,37.49,8.66,23.25,11.37,15.01,11.2,0.07,-0.09,0.1,-0.04,2.45,9.97,3.68,0.03,,,,,,,,,,,,,,,,,,,
Z. Uy,Quewenia,FWMF,0,1,0,0,Sugar Storm,Yes,No,29,1991,0.31,0.06,5.04,2.54,49.99,4.54,2.15,0.06,0.08,14.48,0.01,-0.1,0,0.32,0.29,0.07,-0.23,-0.3,50.08,62.43,80.08,655.09,184.99,35.03,42.46,82.45,9.91,10.08,99.96,2.52,2.55,99.93,0.02,-0.07,0.02,-0.08,5.06,-0.06,0.04,2.54,5,5.01,2.51,2.46,-0.08,-0.01,0.06,0,0.1,50.06,14.98,29.95,12.48,20.07,17.43,0.02,0.03,0,0.04,2.59,7.44,-0.01,-0.08,,,,,,,,,,,,,,,,,,,
R. Yiga,Quewenia,GK,0,0,0,1,Sugar Storm,Yes,No,32,1988,5.78,-0.03,-0.02,-0.01,0,0.08,-0.02,0,0,0,0.09,0.08,-0.06,-0.06,-0.08,0,0.03,0,24.01,31.02,77.37,720.63,469.4,5.2,5.26,99.96,8.77,8.93,97.91,9.76,16.76,58.92,0.09,0.05,-0.06,-0.02,-0.07,-0.09,0.01,0.08,0.02,-0.09,0.1,0.06,-0.08,0.03,-0.01,0,0.09,-0.09,-0.07,0,0.04,0.05,-0.03,-0.05,-0.1,0.08,-0.05,0.07,0.04,0.06,0.05,5.04,5.07,509.98,5.79,1.52,1.62,5.29,3.8,70.04,0.17,0.57,0.26,-0.06,0,-0.08,-0.08,0,-0.01,0
H. Adjei,Quewenia,MF,0,0,1,0,Sugar Storm,Yes,No,28,1992,5.01,-0.08,-0.1,-0.06,0,0,-0.07,0,0,0,-0.02,-0.07,-0.02,-0.1,-0.06,0,0.08,0.08,43.82,48.72,89.97,764.4,202.2,20.48,21.69,94.55,18.98,20,95.07,4.36,6.17,68.84,0.13,0.15,0.05,0.95,3.49,0.49,-0.04,3.72,2.17,1.47,0.89,1.04,0.1,0.41,2.2,18.1,1.72,20.77,5.97,28.26,8.85,8.72,3.29,1.47,0.47,-0.08,1.25,1.8,3.89,1.35,-0.09,,,,,,,,,,,,,,,,,,,
K. Abalo,Quewenia,MF,0,0,1,0,Sugar Storm,Yes,No,28,1992,4.29,-0.08,0.93,-0.08,-0.09,1,-0.04,-0.01,0,25.95,0,0.08,0.55,0.17,-0.03,0.07,-0.16,-0.13,66.2,73.21,90.54,1262.35,362.91,27.64,30.14,91.54,29.17,30.8,94.75,9.15,10.93,82.91,0.23,0.12,0.26,1.13,8.14,1.11,0.08,6.77,2.28,1.31,1.17,1.01,0.14,0.6,2.13,33.21,1.4,16.4,2.7,17.14,5.49,9.13,1.65,1.47,0.69,0.08,0.75,1.56,3.85,1.46,0.03,,,,,,,,,,,,,,,,,,,
O. Obeng,Quewenia,MF,0,0,1,0,Sugar Storm,Yes,No,24,1996,1.31,0.08,1.47,0.07,-0.07,1.45,-0.01,0.05,0,15.31,-0.07,0,0,0.12,0.11,0.1,0.03,-0.12,15.72,20.1,78.66,245.72,69.21,7.21,7.23,100.07,7.16,9.99,71.34,-0.07,1.42,0.07,-0.08,-0.03,-0.06,-0.1,1.5,0.09,-0.1,2.08,2.13,-0.03,2.06,0.07,-0.01,-0.02,-0.07,0,0.04,13.53,4.2,31.55,7.11,5.06,1.43,1.5,0.68,0.01,0.78,2.04,4.2,0.06,-0.02,,,,,,,,,,,,,,,,,,,
Q. Nakityo,Quewenia,MF,0,0,1,0,Sugar Storm,Yes,No,29,1991,4.07,0.66,2.64,1.12,45.56,2.66,1.19,0.32,0.63,21.58,0.02,-0.08,-0.01,0.29,0.32,0.12,0.45,0.43,29.33,40.47,72.37,632.13,137.76,12.7,14.6,86.66,10.56,14.05,74.12,6.06,11.59,53.12,0.34,0.26,-0.01,2.51,3.23,1.27,0.16,3.39,0.65,0.15,0.47,0.33,-0.01,0.21,0.24,99.96,0.05,11.53,1.48,12.8,1.62,5.93,3.97,0.44,0.08,-0.1,0.42,0.54,1.28,-0.04,-0.06,,,,,,,,,,,,,,,,,,,
Q. Ow,Quewenia,MF,0,0,1,0,Sugar Storm,Yes,No,23,1997,0.43,0.03,1.98,0.02,-0.08,1.85,0,-0.01,0,26.17,-0.06,0.05,-0.06,0.02,-0.09,0.03,-0.06,0.07,13.98,27.99,49.98,237.99,48.02,6.08,11.96,50.08,8.09,8.09,100.07,0.08,3.93,0.06,-0.08,-0.02,-0.08,0.02,0.03,0,-0.03,0.05,4.09,2,2.03,-0.05,2.02,-0.06,4.03,-0.03,3.98,37.93,12,31.55,24.03,9.93,4.08,4.1,0.03,-0.07,4,2.05,6.04,3.98,-0.02,,,,,,,,,,,,,,,,,,,
Aggregate,Quewenia,,,,,,,Yes,,540,39861,61.94,2.23,24.35,8.05,386.85,24.47,7.77,1.71,2.43,273.45,-0.34,0.25,0.35,1.68,1.23,1.38,0.46,0.32,633.92,820.79,1506.99,11480.25,3798.87,286.68,336.24,1703.3,261.64,302.67,1692.5,73.53,123.87,1061.67,2.17,1.51,0.44,15,44.6,10.58,1.58,46.02,42.72,25.54,24.89,11.55,5.73,14.33,32.62,584.52,18.08,386.21,103.66,489.08,153.14,140.42,92.67,22.8,7.83,0.2,15.07,31.62,74.52,33.35,-0.16,5.04,5.07,509.98,5.79,1.52,1.62,5.29,3.8,70.04,0.17,0.57,0.26,-0.06,0,-0.08,-0.08,0,-0.01,0
C. Alanazi,Sobianitedrucy,DF,1,0,0,0,Sugar Storm,Yes,No,32,1988,2.53,-0.09,0.32,-0.03,0,0.42,-0.08,-0.02,0,8.07,0.09,-0.1,0.03,0.04,0.02,0.02,0.04,-0.08,61.44,64.59,95.17,1186.49,340.71,26.46,26.9,98.57,23.48,24.27,96.81,10.5,12.25,84.42,0.42,0.09,0.2,1.14,5.29,0.04,0.04,5.32,0.28,0.44,0.38,0.08,0.01,0.41,0.82,49.93,0.41,8.16,2.61,33.22,5.47,2.34,0.4,1.61,0.39,0.09,1.21,3.51,3.89,3.52,-0.05,,,,,,,,,,,,,,,,,,,
L. Yulianti,Sobianitedrucy,DF,1,0,0,0,Sugar Storm,Yes,No,33,1987,7.6,0.13,0.67,0.22,20,0.62,0.21,0.27,1.01,17.67,-0.01,0.1,0.07,0.17,0.11,0.14,0,-0.06,55.87,63.59,87.95,1354.42,481.59,11.5,11.77,97.62,28.79,30.02,95.91,14.52,20.45,71.26,-0.08,0.05,-0.12,0.3,4.14,0.21,0.08,3.14,0.49,0.35,0.58,-0.02,0.01,0.05,0.42,33.32,0.34,4.23,1.27,31.28,2.44,1.57,0.13,1,0.52,-0.01,0.45,1.65,2.31,3.01,0.07,,,,,,,,,,,,,,,,,,,
M. Ayebazibwe,Sobianitedrucy,DF,1,0,0,0,Swift Musketeers,Yes,No,27,1993,6.47,0.07,0.67,-0.1,0.06,0.86,0,0.03,0,12.03,0,-0.05,-0.01,0.15,0.18,0.08,-0.19,-0.18,46.09,53.19,86.66,837.6,340.92,20.14,21.52,93.51,19.76,21.79,90,5.18,7.46,68.72,0.06,0.09,0.01,0.55,5.12,0.96,0.24,3.87,3.07,1.59,1.91,0.75,0.31,0.76,1.76,45.56,1,14.43,4.62,31.96,7.07,5.85,1.63,2.72,0.68,-0.08,2.05,2.04,5.13,3.52,-0.09,,,,,,,,,,,,,,,,,,,
R. Bogere,Sobianitedrucy,DF,1,0,0,0,Swift Musketeers,Yes,No,36,1984,4.87,-0.06,0.4,0.17,50.07,0.33,0.2,0.02,0.01,21.18,-0.03,-0.04,0.02,0.01,-0.03,0.14,0.06,0.06,58.63,63.99,91.77,1104.19,281.44,21.22,22.26,95.42,29.37,30.66,96.01,6.76,9.54,70.14,-0.01,-0.04,-0.01,0.16,3.55,0.02,0,2.3,1.31,0.56,1.13,-0.05,-0.03,0.74,0.9,99.9,-0.05,5.8,2.24,39.33,3.27,2.18,0.3,1.56,0.66,0.06,1.1,0.98,2.25,6.2,0.08,,,,,,,,,,,,,,,,,,,
S. Kamoga,Sobianitedrucy,DF,1,0,0,0,Swift Musketeers,Yes,No,21,1999,1.01,0.08,0.05,-0.03,0,0.04,-0.06,0,0,0,0.03,0.07,0.09,0.02,-0.08,0,-0.08,-0.08,77.92,82.99,93.98,1560.06,404.91,25.97,26.02,99.99,37.03,37.96,97.42,12.06,15.01,79.91,0.02,0.32,-0.4,2.94,3.05,1.07,1.01,4.07,1.08,1.01,1.08,-0.01,-0.08,0.95,0.91,100.01,0.07,10.05,3.08,29.94,6.07,4.07,0.03,0.94,-0.01,0.01,1.03,0.03,0.91,4.07,0.05,,,,,,,,,,,,,,,,,,,
T. Neves,Sobianitedrucy,DF,1,0,0,0,Swift Musketeers,Yes,No,29,1991,0.48,-0.02,0.06,-0.01,0,0.09,0.07,0,0,0,0.1,-0.05,0.06,0.09,0.05,0,0.06,0.03,96.1,114.03,84.19,1851.99,551.92,35.96,42.08,85.76,48.06,49.92,96.06,10.02,19.99,49.98,-0.02,-0.03,0.06,-0.09,6.07,-0.07,-0.01,4.03,0.04,0.08,0.05,-0.1,0.06,-0.07,-0.02,0,0.1,11.99,2.01,16.75,-0.04,6.09,5.92,0.04,-0.06,0.01,-0.09,-0.02,0,2.01,-0.06,,,,,,,,,,,,,,,,,,,
V. bin Ali,Sobianitedrucy,DF,1,0,0,0,Swift Musketeers,Yes,No,26,1994,3.19,0.07,0.86,0.35,33.29,0.93,0.35,0.02,0.04,17.76,0.01,-0.07,-0.03,0.01,0.15,0.04,-0.05,-0.15,41.97,47.77,87.59,607.16,168.33,23.32,25.32,92.59,16.37,18.75,86.64,0.86,1.63,59.92,-0.02,0.03,0.03,0.54,1.98,0.28,0.01,2.23,1.52,1.24,0.93,-0.05,0.62,0.56,1.26,50,0.59,9.46,2.8,30.03,2.55,4.37,2.59,-0.05,0.07,0.08,-0.02,0.36,1.88,1.89,0.01,,,,,,,,,,,,,,,,,,,
Y. Opio,Sobianitedrucy,DF,1,0,0,0,Swift Musketeers,Yes,No,30,1990,1.77,-0.05,1.13,0.06,0.07,1.19,-0.04,0.03,0,16.67,0.05,-0.08,0.04,-0.05,-0.09,0.06,-0.01,0.09,43.21,52.3,83.09,842.8,269.46,15.66,16.72,93.38,22.79,26.03,87.15,4.99,8.4,60.03,0.63,0.01,0.54,1.02,6.11,-0.02,0,4.5,2.24,0.64,0.59,0.58,1.18,1.08,1.63,66.74,0.57,11.78,3.97,33.29,5.55,2.68,3.31,1.11,0.1,0.07,1.17,0.51,2.75,-0.02,-0.01,,,,,,,,,,,,,,,,,,,
Y. Vitali,Sobianitedrucy,DF,1,0,0,0,Swift Musketeers,Yes,No,27,1993,4.13,0.08,1.59,0.42,28.58,1.6,0.52,-0.03,0.04,15.01,0.05,-0.01,-0.04,0.06,0.1,0.12,-0.1,-0.14,44.56,51.32,86.59,676.02,207.03,23,24.91,92.32,16.28,18.4,88.2,2.89,4.04,70.63,0.56,0.1,0.35,1.88,4.24,1.39,0.96,3.65,0.44,0.17,0.23,0.01,0.31,0.2,0.62,33.35,0.45,9.74,2.68,26.75,3.02,4.27,2.45,2.2,0.78,0.26,1.53,1.35,1.84,0.9,0.06,,,,,,,,,,,,,,,,,,,
B. Sah,Sobianitedrucy,FW,0,1,0,0,Swift Musketeers,Yes,No,30,1990,4.94,0.45,3.58,0.57,16.78,3.63,0.66,0.05,0.73,15.57,-0.05,-0.01,0.02,0.4,0.26,0.04,-0.02,0.07,20.8,26.1,79.78,299.73,30.63,11.04,13.12,84.48,6.14,7.59,81.13,1.61,2.48,66.66,0.15,0.16,0,0.66,0.91,0.9,0.08,1.45,0.1,-0.09,0.02,-0.03,0.04,0.01,0.33,-0.02,0.37,21.08,4.33,20.35,0.66,8.26,12.16,0.86,0.13,0,0.53,0.12,0.15,0.46,-0.08,,,,,,,,,,,,,,,,,,,
E. Zacarias,Sobianitedrucy,FW,0,1,0,0,Swift Musketeers,Yes,No,27,1993,2.41,-0.06,3.65,0.76,22.12,3.75,0.82,0.05,-0.09,15.42,0.01,0.03,0.46,0.52,0.39,0.1,-0.5,-0.43,9.11,13.82,66.64,137.94,14.2,5.51,6.76,81.21,2.14,3.79,55.52,0.76,1.22,66.76,0.07,-0.04,0.1,0.43,0.04,0.47,0.02,0.88,0.73,0.75,0.09,0.85,0.04,-0.1,0.43,-0.02,0.48,14.61,4.21,28.66,2.01,7.14,5.45,-0.05,-0.04,-0.03,-0.05,-0.08,0.87,0.74,0.08,,,,,,,,,,,,,,,,,,,
G. Chimwaza,Sobianitedrucy,FW,0,1,0,0,Swift Musketeers,Yes,No,20,2000,0.17,0.09,5.08,-0.07,-0.02,5.65,0.09,0.05,0,18.21,0.08,0.06,0.05,0.6,0.47,0.03,-0.49,-0.56,20.02,30.01,66.71,424.95,130,10.04,10.07,99.92,5.01,9.95,49.93,5,4.99,100.06,-0.07,0.02,0.01,0.06,0.01,0.01,0,0.1,-0.1,0.07,-0.01,0.05,-0.1,0.04,-0.07,0,0.05,5.08,0.07,0.06,5.02,0.04,0.09,-0.04,-0.03,0.06,0.08,-0.06,-0.05,0.06,0.05,,,,,,,,,,,,,,,,,,,
P. Mlotshwa,Sobianitedrucy,FW,0,1,0,0,Swift Musketeers,Yes,No,23,1997,4.91,0.51,3.18,1.38,43.79,3.21,1.37,0.16,0.39,16.51,-0.03,0.08,0.07,0.18,0.25,0.04,0.24,0.25,17.11,22.93,74.98,252.03,57.72,9.16,11.25,81.84,5.49,7.08,77.08,1.32,2.5,49.93,0.1,0.15,-0.21,1.21,0.37,1.04,0.38,1.46,1.04,0.24,0.47,0.13,0.49,0.15,1.38,14.28,1.19,14.45,2.12,14.15,2.39,5.92,6.05,0.49,0.1,0.02,0.4,0,1.11,0.21,0.07,,,,,,,,,,,,,,,,,,,
R. Nkosi,Sobianitedrucy,FW,0,1,0,0,Swift Musketeers,Yes,No,29,1991,5.58,0.34,3.43,1.18,36.82,3.3,1.32,0.12,0.39,20.33,-0.04,0.05,0.6,0.21,0.23,0.13,0.17,0.16,47.96,60.9,78.59,850.01,212.52,26.39,29.5,88.57,14.59,17.74,81.81,6.7,11.34,58.64,-0.04,0.18,-0.22,2.38,2.23,2.38,0.46,4.66,0.69,0.28,0.27,0.61,-0.06,0,0.89,-0.03,0.88,11.51,2.92,24.55,3.77,4.25,3.58,0.24,0.1,0.05,0.26,0.68,1.34,0.21,-0.02,,,,,,,,,,,,,,,,,,,
V. Golob,Sobianitedrucy,FW,0,1,0,0,Swift Musketeers,Yes,No,26,1994,4.27,0.02,3.42,0.55,14.36,3.44,0.52,0,0.04,17.43,-0.01,-0.05,0.08,0.17,0.19,-0.02,-0.23,-0.2,24.56,32.83,74.65,410.79,95.92,13.71,16.93,81.8,7.23,8.29,85.71,3.37,5.24,63.52,0.14,0.2,0.03,2.43,0.52,1.39,0.4,2.57,0.57,0.17,-0.08,0.49,-0.02,0.08,1.24,0.05,1.21,20.23,4.71,23.43,3.83,8.57,7.79,1.14,0.31,0.02,0.94,2.07,2.53,1.7,0.03,,,,,,,,,,,,,,,,,,,
