Player,Nation,Pos,Squad,Tournament,In/Out,League,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Performance PK,Performance PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,W,D,L,Performance CS,Performance CS%,Performance PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
C. Navarro,Nganion,DF,Running Bigfoots,Yes,Yes,E,33,1985,37.46,0.01,0.32,0.08,19.96,0.36,0.09,0.04,0.07,25.02,-0.07,-0.06,-0.03,-0.05,-0.04,0.08,-0.05,0,55.57,70.89,78.27,1040.38,332.86,24.32,27.29,88.91,23.9,29.19,81.38,6.73,11.48,58.73,0.15,0.14,-0.04,1.76,3.68,2.72,1.04,6.58,0.96,0.54,0.48,0.19,0.03,0.43,1,52.89,0.48,6.1,1.73,27.35,2.63,2.42,1.19,1.37,0.03,0.07,1.27,0.53,1.45,2.92,-0.01,,,,,,,,,,,,,,,,,,,
K. Mpofu,Nganion,DF,Running Bigfoots,Yes,Yes,E,22,1996,27.93,-0.01,1.04,0.2,24.13,1.12,0.23,0.09,0.2,16.89,-0.09,-0.07,-0.08,0.01,0.08,0.15,-0.05,0.01,51.16,64.15,79.66,907.68,337.99,23.27,25.78,89.73,22.49,27.45,81.85,4.72,8.42,55.46,0.24,0.2,-0.03,1.51,3.06,1.38,0.7,4.21,2.01,1.09,1.02,0.72,0.05,1.07,2.24,46.87,1.08,12.66,3.71,28.44,5.23,5.16,2.34,1.46,0.27,-0.05,1.18,0.71,2.69,3.2,-0.03,,,,,,,,,,,,,,,,,,,
X. Nabukalu,Nganion,DF,Running Bigfoots,No,Yes,E,27,1992,8,0.09,0.28,0.03,-0.06,0.38,0.08,0.06,,15.93,0.02,0.02,-0.06,0.07,0.01,0.06,0.05,-0.02,54.24,60.89,89.25,1240.41,326.06,13.36,14.5,91.47,28.54,30.35,94.61,12.12,15.49,78.89,0.04,-0.09,-0.05,0.2,2,-0.09,-0.03,1.48,0.97,0.54,0.45,0.36,-0.05,0.51,0.49,99.93,0.08,5.87,2.44,40.49,3.16,2.54,0.09,1.4,0.48,0.06,0.82,0.28,1.2,5.77,0.05,,,,,,,,,,,,,,,,,,,
A. Bondarenko,Biarizea,FW,Running Bigfoots,No,No,E,23,1995,13.89,0.38,3.2,1.01,31.83,3.17,1.04,0.21,0.32,16.87,0.01,0.07,-0.05,0.13,0.27,0.13,0.19,0.09,25.06,32.67,76.77,390.75,91.78,13.78,16.03,86.01,8.32,10.27,81.17,1.91,3.8,52.71,0.15,0.1,-0.01,1.21,1.48,1.56,0.43,2.53,1.98,1.33,0.55,1.27,0.1,0.38,1.05,31.23,0.78,15.33,5.09,33.33,3.06,7.02,5.11,0.94,-0.03,-0.01,0.88,0.37,2.24,0.91,-0.05,,,,,,,,,,,,,,,,,,,
O. Wong,Biarizea,FW,Running Bigfoots,No,No,E,22,1997,8.82,0.48,2.32,0.86,38.07,2.42,0.94,0.29,0.41,10.85,0,0.08,-0.08,0.37,0.47,0.13,0.1,0,11.71,17.75,65.65,177.01,25.63,6.97,8.82,80.42,3.48,5.94,57.63,1.11,1.62,60.03,-0.04,0.09,-0.03,0.39,0.53,0.2,0.06,0.73,0.94,0.66,0.11,0.86,-0.1,0.13,1.09,11.2,0.99,22,6.05,27.48,3.17,10.56,8.26,0.87,0.32,-0.03,0.65,0.54,1.47,0.75,-0.07,,,,,,,,,,,,,,,,,,,
U. Yong,Byasier Pujan,FW,Running Bigfoots,Yes,Yes,E,28,1990,22.97,0.32,2.5,1,43.58,2.45,1.07,0.09,0.23,10.07,-0.07,-0.06,0.06,0.39,0.29,0.16,-0.07,-0.14,17.06,23.78,71.5,246.01,39.83,9.76,12.88,75.84,5.36,7.61,71.27,0.9,1.42,66.77,0.01,0.04,-0.05,0.73,1.09,0.37,-0.03,1.45,0.76,0.49,0.09,0.4,0.32,0.24,0.58,26.67,0.45,15.77,4.61,29.85,0.66,7.69,7.39,0.65,0.17,0,0.47,0.28,1,0.91,0.02,,,,,,,,,,,,,,,,,,,
N. Khalil,Dastatesne,FW,Running Bigfoots,Yes,No,C,27,1992,8.46,0.44,2.7,1.18,43.48,2.63,1.23,0.11,0.38,13.56,0,-0.1,0.06,0.43,0.41,0.18,0.06,0.18,22.13,30.6,72.66,323.63,94.89,13.52,16.44,82.06,5.44,7.71,72.33,1.82,3.06,61.58,-0.04,0.08,-0.15,0.69,2.19,0.96,0.06,3.15,0.96,0.75,0.22,0.56,0.41,0.55,1.17,40.01,0.8,17.97,4.78,26.29,2.51,6.59,8.72,1.45,0.27,-0.01,1.2,0.56,1.54,0.08,0.02,,,,,,,,,,,,,,,,,,,
G. Nadunga,Imaar Vircoand,FW,Running Bigfoots,No,No,E,25,1994,30.59,0.48,2.76,1.02,38.35,2.75,0.96,0.19,0.35,17.05,0.06,0.13,0.18,0.29,0.24,0.13,0.2,0.14,23.97,31.91,74.81,379.54,92.73,13.51,15.67,86.23,6.94,9.16,75.85,2.36,3.97,57.82,0.07,0.14,-0.04,0.8,1.06,0.93,0.33,2.42,1.69,0.96,0.99,0.46,0.25,0.79,2.39,28.72,1.63,16.56,4.65,28.68,4.27,6.39,5.71,1.83,0.2,0.02,1.64,0.57,2.14,0.61,-0.07,,,,,,,,,,,,,,,,,,,
F. Lubowa,Newgan Ruland,FW,Running Bigfoots,No,No,A,31,1988,1.22,0.86,2.47,1.57,66.75,2.57,1.71,0.41,0.43,16.46,0.9,-0.05,-0.09,0.68,0.72,0.29,0.13,0.14,15.81,18.35,86.45,261.72,41.79,4.96,5.73,85.8,6.66,7.52,88.89,1.65,1.61,100.09,-0.01,0.05,0,0.03,1.72,0.74,0.05,2.51,-0.04,-0.09,0.03,-0.06,-0.01,0.04,0.78,-0.06,0.87,21.6,4.94,23.13,-0.08,5.8,15.81,0.08,-0.09,-0.09,-0.05,0.91,0.91,-0.08,-0.06,,,,,,,,,,,,,,,,,,,
E. Mwesigye,Nganion,FW,Running Bigfoots,Yes,Yes,E,18,2001,0.64,0,0.03,-0.03,,0.01,-0.09,,,,-0.03,-0.09,-0.03,0.02,0.05,,-0.07,-0.01,34.21,40.02,85.74,404.31,81.39,24.32,24.3,100.1,5.63,5.64,100.04,0.08,4.33,0.05,0.06,0.02,-0.1,-0.01,1.34,-0.05,0.08,1.38,1.48,1.46,0.06,1.44,0.01,0.05,2.82,-0.09,2.79,25.78,5.64,22.28,8.49,11.49,5.67,-0.03,0.01,0.03,0.03,0.09,1.39,-0.04,0.1,,,,,,,,,,,,,,,,,,,
U. Woo,Nganion,FW,Running Bigfoots,No,Yes,E,32,1986,3.67,0.52,1.71,1.09,66.77,1.58,1.14,0.24,0.18,19.15,0.54,0.31,0.24,0.53,0.31,0.2,-0.08,-0.15,31.83,45.64,70.13,644.74,216.97,13.11,16.66,78.26,13.03,17.48,74.52,5.23,9.5,55.89,0.19,0.15,0.13,1.43,3.79,2.84,0.01,5.75,1.6,1.19,1.06,0.53,0.1,-0.04,0.92,0.01,0.76,20.26,6.12,30.08,7.41,8.65,4.13,1.71,0.26,0.03,1.46,0.24,2.03,1.12,0.03,,,,,,,,,,,,,,,,,,,
M. Mubangizi,Greri Landmoslands,FWMF,Running Bigfoots,No,Yes,B,23,1995,0.87,0.02,2.14,0.01,0.09,2.17,-0.05,-0.09,,12.47,-0.03,-0.07,-0.05,0.15,0.17,0.08,-0.28,-0.13,26.7,28.82,92.2,334.33,51.06,17.89,17.77,100.05,7.75,10.05,77.75,1.16,1.04,100.02,-0.07,-0.04,-0.04,0.06,3.42,-0.08,0.05,0.1,2.12,1.19,-0.02,2.26,-0.07,0.01,0.1,,-0.03,16.65,4.43,26.63,2.29,6.6,7.76,-0.03,-0.07,-0.06,0.06,0.06,2.15,0.07,-0.04,,,,,,,,,,,,,,,,,,,
I. Murakami,Nganion,FWMF,Running Bigfoots,No,Yes,E,20,1999,16.53,0.12,0.41,0.09,33.29,0.28,0.12,0.2,0.51,23.87,-0.05,0.03,0.02,0.01,0.05,0.12,0.1,0.01,39.08,51.68,75.61,677.36,267.13,18.87,21.3,88.24,15.43,20.24,76.22,3.9,8.01,49.12,0.05,0.17,0.09,0.96,2.06,0.99,0.53,2.44,2.36,2.02,1.85,0.35,0.06,1.08,2.65,41.81,1.54,18.49,5.42,29.72,10,5.11,3.31,1.91,0.16,0,1.67,1.05,3.36,2.02,0.15,,,,,,,,,,,,,,,,,,,
P. bin Ibrahim,Nganion,FWMF,Running Bigfoots,No,Yes,E,25,1993,8.7,0.07,1.6,0.84,50.06,1.53,0.8,0.15,0.11,22.34,0.24,-0.04,-0.02,0.1,0.01,0.02,0.06,-0.03,33.84,44.85,75.36,604.73,174.75,16.87,19.68,85.93,12.05,15.18,80.26,4.4,7.67,57.63,0.1,0.17,-0.08,1.73,2.67,2.66,0.67,4.41,0.87,0.3,0.53,0.14,0.14,0.55,1.75,33.35,1.12,9.56,3.02,31.24,3.07,5.45,1.08,0.39,0.06,-0.09,0.54,0.16,1.01,0.31,0.01,,,,,,,,,,,,,,,,,,,
N. Mucunguzi,Biarizea,GK,Running Bigfoots,No,No,E,28,1991,5.55,-0.01,0.05,0.08,,0.05,-0.08,,,,0.03,0.04,0.06,0,0.06,,-0.08,-0.02,23.09,30.83,74.74,761.35,484.72,3.54,3.47,99.93,10.45,10.44,99.95,9.19,17.2,54.4,0.08,-0.02,0.04,0.13,0.63,-0.03,0.08,-0.07,0.06,0,-0.07,0.02,-0.1,0,-0.04,,0.05,0.07,0.07,,-0.05,-0.06,0.03,0.05,-0.07,-0.03,-0.06,0.07,0.05,0.01,-0.02,6.07,4.95,495.06,5.58,0.63,0.53,3.51,3.13,89.44,0.65,0.2,-0.09,0.67,80.09,0.22,0.26,-0.01,-0.03,0.04
U. Nishimura,Galamily,GK,Running Bigfoots,Yes,No,E,30,1989,32.46,0.09,-0.04,0.09,,0.02,0.02,,,,-0.05,0.1,-0.03,0.02,-0.06,,-0.09,-0.05,20.52,28.4,72.43,655.24,388.87,2.55,2.77,98.82,9.19,9.34,99.06,8.61,16.29,52.97,-0.02,-0.09,-0.09,0.08,0.17,-0.01,0.09,0.01,0.04,-0.08,0.06,-0.1,-0.04,-0.01,-0.06,-0.04,0.11,-0.03,0.01,,0.02,-0.04,0.02,0.04,-0.1,0.03,-0.05,0.05,-0.01,-0.09,-0.01,33.05,33,2924.95,32.44,1.02,0.93,2.99,2,69.89,0.41,0.45,0.13,0.36,42.35,0.07,0.07,-0.05,-0.02,33.33
S. Mäkelä,Imaar Vircoand,MF,Running Bigfoots,No,No,E,31,1988,27.49,0.12,1.37,0.31,21,1.44,0.25,-0.03,0.09,24.76,0.12,0.16,-0.01,0.19,0.02,0.06,0.08,0.05,70.98,86.29,82.22,1548.36,465.99,26.4,29.52,89.68,28.6,32.47,88.15,15.01,22.02,68.42,0.21,0.1,0.14,2.19,9.79,1.26,0.23,8.74,1.91,1.11,0.6,0.86,0.47,0.79,2.52,33.81,1.66,16.49,4.5,26.99,4.62,8.81,2.94,0.78,0.09,0.02,0.61,0.6,2.41,0.49,0.03,,,,,,,,,,,,,,,,,,,
G. Gentile,Lefghau,MF,Running Bigfoots,No,No,E,32,1987,29.46,0.16,0.56,0.23,42.9,0.53,0.22,0.05,0.39,10.1,-0.03,0.05,0,0.07,0.03,0.05,-0.08,-0.02,46.89,52.17,89.71,999.98,227.12,14.93,16.19,91.74,21.83,23.63,91.72,9.25,10.75,85.08,0.1,0,0.06,0.35,2.99,0.33,0.12,2.38,2.21,1.5,1.38,0.76,0.15,1.02,2.08,43.71,1.27,17.16,6.35,36.8,7.37,8.57,1.42,1.96,0.58,-0.05,1.45,1.06,3.21,4.27,0.04,,,,,,,,,,,,,,,,,,,
V. Handayani,Nganion,MF,Running Bigfoots,No,Yes,E,25,1994,25.06,0.16,1.12,0.2,21.35,1.14,0.28,0.06,0.35,23.09,0.41,-0.02,-0.08,0.11,0.02,0.1,0.1,-0.02,60,69.83,85.61,1195.14,267.64,24.7,27.47,89.76,23.76,26.63,89.12,10.22,13.3,76.68,-0.02,0.13,0.01,1.38,5.57,1,0.52,4.84,2.36,1.92,0.83,1.19,0.2,0.96,3.05,31.15,2.19,19.74,5.57,28.16,5.18,10.98,3.48,1.65,0.25,-0.05,1.37,0.72,3.29,1.29,0.09,,,,,,,,,,,,,,,,,,,
I. Carpentier,Rosvi,MFDF,Running Bigfoots,Yes,No,E,27,1991,13.49,0.03,0.58,0.17,14.36,0.6,0.14,-0.09,-0.03,25.17,0.04,0.02,0.03,0.12,0.01,0.14,-0.05,-0.11,45.45,50.26,90.57,872.73,172.72,17.94,19.06,93.88,20.55,21.86,94.26,6.14,7.87,79.15,0.09,-0.02,-0.02,0.13,2.75,0.27,0.05,1.54,1.48,0.9,0.66,0.67,0.03,0.5,1.09,40.05,0.58,10.2,3,29.92,3.86,5.47,0.75,2.16,0.74,0.02,1.41,0.97,2.31,2.62,0.06,,,,,,,,,,,,,,,,,,,
G. Agustina,Imaar Vircoand,MFFW,Running Bigfoots,No,No,E,30,1989,12.26,0.2,1.26,0.43,37.44,1.38,0.53,0.26,0.4,12.41,0.04,0.1,0.09,0.1,0.14,0.03,0.16,0.09,44.8,52.16,85.74,790.32,176.42,21.38,23.51,90.87,17.8,21,84.45,4.84,6.07,79.62,-0.06,-0.01,0.04,0.75,4.61,0.77,0.1,4.31,2.63,1.48,1.4,1.05,0.07,0.89,2.95,29.77,2.05,20.89,5.42,25.97,5.69,11.74,3.61,1.27,0.08,-0.02,1.24,0.48,3.01,0.72,0.05,,,,,,,,,,,,,,,,,,,
F. Ngulube,Nganion,MFFW,Running Bigfoots,No,Yes,E,24,1994,17.68,0.13,1,0.53,62.55,0.99,0.65,0.22,0.26,19.13,-0.03,0.07,0.08,0,0.06,0.12,0.1,0.04,45.83,56.22,81.52,915.7,229.84,19.75,22.17,89.55,17.16,20.16,84.75,7.82,11.27,69.32,0.21,0.11,0.11,0.89,5.44,1.4,0.28,5.05,2.88,1.68,0.7,1.77,0.36,1.92,3.79,51.47,1.91,24.08,6.7,27.53,5.72,11.62,6.55,1.55,0.13,-0.05,1.3,0.41,3.3,0.45,-0.05,,,,,,,,,,,,,,,,,,,
X. Muzaki,Imaar Vircoand,DF,Sassy Knights,No,No,E,32,1987,14.24,-0.02,0.15,0.2,66.65,0.26,0.05,0.39,0.43,26.71,-0.06,-0.08,0.05,-0.08,0.02,0.06,0.07,0.14,31.75,41.14,77.29,722.6,303.52,9.32,10.59,88.06,15.15,18.61,81.49,6.94,10.95,63.47,0.07,0.04,0.02,0.21,2.11,0.35,0.1,3.6,2.13,1.28,1.12,0.92,0.06,0.69,1.57,45.44,0.79,10.57,3.73,35.59,5.57,4.04,0.9,2.04,0.36,-0.08,1.68,1.26,3.44,4.67,0.13,,,,,,,,,,,,,,,,,,,
L. Kimuli,Nathuacamana,DF,Sassy Knights,No,No,E,21,1998,33.13,0.06,0.56,0.03,16.75,0.46,0.13,0.07,0.3,18.09,0.09,-0.04,0.02,0,0.02,0.06,-0.08,-0.07,39.84,55,72.56,707.97,317.84,19.48,22.32,86.48,15.4,20.01,77.68,4.47,9.62,45.93,0.09,0.15,0.05,1.3,2.93,1.66,1.16,3.99,2.59,1.78,1.74,0.65,0.11,1.2,2.17,51.49,1.11,15.05,5.01,33.65,7.1,5.86,1.86,1.67,0.18,0.02,1.51,1.42,3.94,2.69,0,,,,,,,,,,,,,,,,,,,
G. Varma,Nganion,DF,Sassy Knights,No,Yes,E,25,1994,30.98,0.01,0.52,0.12,26.39,0.66,0.22,-0.03,0.02,10.38,-0.06,-0.05,0.07,0.12,-0.02,0.08,-0.12,-0.02,27.75,37.35,74.27,661.6,256.31,6.56,7.85,82.79,14.49,17.47,82.2,6.68,11.6,58.33,0.05,-0.02,-0.11,0.16,2.59,0.18,-0.06,2.8,1.32,0.81,0.6,0.63,0.06,0.58,1.21,47.13,0.59,8.45,2.97,35.48,4.14,4.23,0.16,1.56,0.62,0.06,0.97,0.46,1.9,8.19,0,,,,,,,,,,,,,,,,,,,
J. Chan,Nganion,DF,Sassy Knights,No,Yes,E,31,1988,7.97,0.07,0.04,0.1,,-0.02,-0.09,,,,-0.05,0.02,0.01,0.07,-0.05,,0.09,0.04,27.59,34.26,80.42,654.19,240.96,6.69,7.3,93.08,14.34,15.89,89.77,6.5,10.59,60.72,0.1,-0.08,-0.08,0.31,1.23,0.15,-0.07,1.7,1.84,1.34,1.02,0.82,-0.09,0.35,1.84,21.31,1.48,8.55,3.76,43.21,4.88,3.5,-0.06,2.46,0.72,-0.07,1.68,0.98,2.77,4.98,0.22,,,,,,,,,,,,,,,,,,,
K. Byakatonda,Nganion,DF,Sassy Knights,No,Yes,E,27,1992,6.09,0.24,0.41,0.22,50.04,0.42,0.12,0.51,1.06,7.05,-0.07,0.01,-0.09,0.01,-0.06,0.19,0.11,0.19,25.88,35.75,72.12,601.63,217.63,7.5,8.74,84.87,11.84,14.11,83.55,6.15,11.73,52.05,0.02,0.08,-0.07,0.16,1.82,0,0.07,2.28,1.33,0.87,0.88,0.35,0.25,0.44,1.28,37.55,0.82,9.99,3.26,33.36,5.72,3.01,1.4,3.1,1.41,0.05,1.52,0.33,1.74,5.73,-0.06,,,,,,,,,,,,,,,,,,,
Q. Alonso,Nganion,DF,Sassy Knights,No,Yes,E,24,1995,25.87,-0.01,0.58,0.12,26.77,0.59,0.07,0,-0.08,20.13,0.02,0.04,-0.05,0.09,0.02,0.06,-0.05,-0.05,34.51,47.96,72.29,670.28,288.23,14.69,17.35,84.44,15.1,19.46,77.69,4.59,9.56,47.34,-0.08,0.14,-0.03,0.75,2.68,1.34,0.57,3.84,1.96,1.05,1.2,0.69,0.19,0.91,1.6,53.72,0.62,10.46,3.37,31.38,4.28,4.37,1.78,2.37,0.18,0.05,2.15,0.68,2.73,4.07,-0.01,,,,,,,,,,,,,,,,,,,
T. Nalugo,Nganion,DF,Sassy Knights,No,Yes,E,30,1989,2.29,0.05,0.41,0.09,-0.1,0.44,-0.09,0.09,,19.95,-0.06,-0.05,-0.02,0.06,0.05,0.04,-0.04,0.02,45.49,56.32,80.65,983.51,395.92,15.51,18.21,85.08,23.58,25.91,91.21,6.43,11.39,56.08,-0.04,0.05,0,0.42,4.57,1.4,0.35,5.83,2.17,0.81,1.39,0.9,0.03,1.85,1.91,100.05,-0.03,8.58,1.83,21.04,3.16,4.99,0.41,1.32,0.43,0.04,0.86,0.38,2.7,4.12,0.02,,,,,,,,,,,,,,,,,,,
A. binti Zakaria,Zacia Lygia,DF,Sassy Knights,No,No,E,30,1989,29.06,0.14,0.52,0.04,28.58,0.57,0.24,0.29,0.66,9.48,-0.08,-0.07,0.09,0.14,0.06,0.05,-0.04,0.13,25.43,31.94,79.68,616.6,182.12,6.1,6.78,87.46,12.18,14.47,84.62,6.99,10.26,68.41,-0.01,-0.01,-0.07,0.12,1.16,0.22,-0.02,1.68,1.41,0.82,0.86,0.61,0.02,0.39,0.65,69.91,0.23,5.84,2.68,45.01,3.4,2.22,0.24,1.18,0.62,0.03,0.5,0.68,2.28,8.12,-0.02,,,,,,,,,,,,,,,,,,,
S. Baig,Nganion,DFMF,Sassy Knights,No,Yes,E,21,1997,5.19,0.26,0.82,0.36,50.02,0.69,0.44,0.3,0.41,13.71,-0.06,0.06,0.01,0.02,-0.02,0.14,0.1,0.1,32.34,49.16,65.61,552.76,225.98,14.88,17.77,83.64,14.04,19.99,70.13,2.76,8.56,31.89,0.07,0.13,0.01,0.83,2,0.63,0.41,2.31,3.88,2.36,2,1.76,0.2,1,1.41,71.4,0.45,21.32,6.24,28.72,6.94,10.86,3.72,2.43,-0.1,-0.09,2.41,0.78,4.52,3.14,0.35,,,,,,,,,,,,,,,,,,,
F. Rozman,Imaar Vircoand,FW,Sassy Knights,No,No,E,25,1994,17.76,0.47,3.87,1.51,39.76,3.75,1.55,0.06,0.28,18.04,0.02,0.09,0.08,0.42,0.49,0.17,0.09,0.16,10.48,18.16,57.3,195.32,47.13,5.26,7.75,66.79,3.29,5.97,54.6,1.83,3.26,55.19,0.19,0.11,-0.02,1.16,1.22,0.64,0.17,1.64,1.04,0.91,0.24,0.57,0.19,0.33,0.94,33.23,0.62,19.38,5.19,26.97,1.25,7.95,10.13,1.02,0.04,0.09,0.98,0.14,1.38,0.4,0,,,,,,,,,,,,,,,,,,,
K. Benhamou,Nganion,FW,Sassy Knights,No,Yes,E,24,1995,4.49,-0.02,1.92,0.46,22.16,2.09,0.4,-0.03,-0.02,14.84,0.07,-0.07,0,0.17,0.12,0.1,-0.28,-0.14,18.26,26.05,70.07,264.39,49.97,10.94,14.49,75.39,5.72,7.38,78.82,1.08,1.99,55.54,0.2,0.03,0.15,0.96,0.17,0.85,0.39,1.03,0.8,0.41,0.09,0.71,0.24,0.08,1.09,-0.07,1.17,26.92,4.58,17.4,2.66,14.08,10.27,1.03,0.06,-0.05,1.16,0.17,1.11,0.29,0.05,,,,,,,,,,,,,,,,,,,
K. Vogel,Nganion,FW,Sassy Knights,No,Yes,E,31,1988,2.75,0.31,1.84,0.78,39.98,1.83,0.8,0.05,-0.02,16.53,0.05,0.36,0.28,0.51,0.18,0.09,-0.08,-0.08,22.14,32.29,69.05,328.97,79.25,13.35,15.98,83.74,8.06,11.43,70.99,0.32,2.19,16.76,0.03,0.03,-0.17,1.18,2.59,1.13,-0.02,2.65,0.05,0.07,0.09,0.06,-0.07,-0.04,0.42,0,0.3,14.39,3.61,25.61,2.13,7.4,4.88,1.19,0.46,-0.05,0.65,0.08,-0.03,0.06,0.04,,,,,,,,,,,,,,,,,,,
L. Ibrahimovi?,Nganion,FW,Sassy Knights,No,Yes,E,24,1995,7.85,0.11,1.68,0.43,30.75,1.58,0.42,0.1,0.27,15.76,-0.09,0.1,0.03,0.14,0.22,0.13,-0.09,-0.22,17.26,23.54,73.48,259.5,42.34,10.6,13.23,80.65,5.05,7.12,70.99,1.35,1.74,71.48,0.21,0.22,0.05,1.24,0.82,0.66,0.17,1.25,0.18,0.24,0.19,0.2,-0.05,-0.06,0.87,0.06,0.81,19.11,6.12,31.35,1.29,9.86,8.09,0.8,0.02,-0.04,0.92,-0.04,0.36,0.53,-0.04,,,,,,,,,,,,,,,,,,,
M. Acola,Nganion,FW,Sassy Knights,No,Yes,E,17,2001,0.06,0.03,-0.05,0.06,,0.08,-0.08,,,,0.06,0.03,-0.1,0.01,-0.05,,0.06,-0.07,50.04,50.03,99.94,850.1,379.95,30.05,30.02,100.08,9.91,10.07,99.95,10.07,10.01,100.01,0.01,-0.05,-0.08,0.02,10.05,0.01,0.07,-0.06,0.04,0.09,0.09,0.07,0.08,-0.07,-0.06,,0.05,70.03,19.95,28.55,20.09,29.99,20.07,9.99,-0.07,-0.09,10,0.04,-0.09,-0.01,0.04,,,,,,,,,,,,,,,,,,,
T. Jiu,Nganion,FW,Sassy Knights,No,Yes,E,32,1986,1.85,-0.03,1.7,0.49,33.38,1.66,0.61,0.01,-0.02,11.17,-0.01,-0.05,-0.01,0.08,0.11,0.17,-0.01,-0.13,14.48,26.69,54.19,196.05,56.78,7.27,12.72,56.59,4.41,7.3,61.49,1.15,2.14,49.92,-0.09,-0.09,-0.07,-0.07,1.02,0.57,-0.09,1.58,2.15,1.02,0.51,0.48,1.2,-0.05,1.08,-0.04,1.14,10.62,2.23,21.11,1.11,5.56,3.81,1.73,-0.09,0.02,1.71,1.08,3.26,1.02,0.02,,,,,,,,,,,,,,,,,,,
F. Magaia,Nganion,FWMF,Sassy Knights,No,Yes,E,21,1997,0.2,0.01,-0.01,0.01,,0.08,-0.04,,,,0,0.03,-0.1,0,-0.05,,0.02,-0.02,34.91,34.94,99.91,365,35.03,15.01,15.03,99.95,10.03,10.02,100.02,0.07,0.08,,-0.03,0.08,-0.1,-0.07,-0.08,0.03,-0.05,0,-0.05,0.05,-0.01,0.05,0.05,0.07,0.06,,0.08,44.98,19.97,44.39,4.97,24.92,14.98,0.03,0.09,0,0.1,0.05,0.04,-0.06,0.04,,,,,,,,,,,,,,,,,,,
H. Abe,Nganion,FWMF,Sassy Knights,No,Yes,E,24,1995,8.81,0.29,2.4,0.69,28.54,2.42,0.58,0.04,0.27,16.3,-0.01,0.07,0,0.13,0.09,0,0.14,0.13,14.75,20.25,72.91,237.37,54.02,8.03,10.77,75.48,4.32,5.54,79.16,1.87,2.54,72.75,0.11,-0.07,0.01,0.63,1.05,0.36,0.14,1.13,0.65,0.38,0.03,0.5,0.02,0.08,1.38,0.03,1.42,18.67,4.89,26.21,2.92,7.8,8.05,1.45,0.09,0.05,1.43,0.55,1.11,0.71,-0.05,,,,,,,,,,,,,,,,,,,
L. Nakalembe,Nganion,FWMF,Sassy Knights,No,Yes,E,31,1988,15.93,0.06,1.22,0.51,38.99,1.02,0.44,-0.03,0.07,14.61,-0.02,0.04,0.13,0.21,0.2,0.15,-0.05,-0.12,22.38,31.66,70.66,312.51,70.26,13.45,17.32,77.41,6.91,9.6,71.57,0.9,2.11,44.06,-0.01,0.18,-0.05,1.32,1.94,0.43,0.13,2.1,0.69,0.32,0.04,0.26,0.34,0.16,1.25,20,0.96,11.47,3.53,29.87,0.9,5.47,4.96,0.68,0.1,0,0.4,0.35,0.91,0.65,-0.07,,,,,,,,,,,,,,,,,,,
G. Alali,Nganion,GK,Sassy Knights,No,Yes,E,26,1993,18.44,-0.02,-0.01,0.03,,-0.09,0.03,,,,-0.09,-0.06,-0.05,0.02,0.02,,0.05,0.03,15.94,33.22,47.75,731.61,572.33,0.91,1.2,85.65,3.51,3.74,95.77,11.22,28.24,39.83,-0.05,0.04,-0.04,0.01,0.96,0.09,-0.05,-0.03,-0.03,0.01,0.01,-0.1,0.06,-0.02,0.18,-0.02,0.21,0.12,0.11,33.36,0.06,-0.08,-0.05,0.03,-0.07,0,-0.03,-0.05,-0.09,0.1,0.25,19.05,18.1,1654.97,18.32,1.43,1.57,4.22,2.78,67,0.48,0.16,0.5,0.32,38.88,0.12,0.14,-0.06,-0.04,0.01
I. Kisitu,Nganion,GK,Sassy Knights,No,Yes,E,23,1996,1.99,-0.01,0.06,-0.04,,0.09,0,,,,0.04,0,-0.02,0.06,-0.02,,-0.04,0.06,18.1,32.93,54.5,780.59,587.05,3.09,2.97,100.03,3.05,3.51,85.68,11.9,26.43,45.23,0.05,0.03,-0.03,-0.01,1.56,0.05,-0.03,-0.06,0.05,-0.08,0.03,0.09,-0.06,0.07,0.5,0.02,0.44,1.09,0.01,0.03,0.98,0.09,0.1,-0.1,-0.02,0.04,-0.04,-0.01,0.09,0.08,-0.04,1.95,2.07,180.06,1.91,1.59,1.48,4.08,3.09,74.94,0.56,0.5,0.01,-0.07,-0.08,0.45,0.49,0.03,-0.03,-0.01
